Date,Ticker,Company Name,Industry,Adj Close,Volume,SP500_Adj_Close
2013-12-12,GOOG,Alphabet,Technology,532.982,3204800.0,1775.5
2013-12-13,GOOG,Alphabet,Technology,528.414,4340900.0,1775.32
2013-12-16,GOOG,Alphabet,Technology,534.487,3216000.0,1786.54
2013-12-17,GOOG,Alphabet,Technology,532.932,3082800.0,1781.0
2013-12-18,GOOG,Alphabet,Technology,540.35,4437100.0,1810.65
2013-12-19,GOOG,Alphabet,Technology,541.082,3343800.0,1809.6
2013-12-20,GOOG,Alphabet,Technology,548.255,6547600.0,1818.32
2013-12-23,GOOG,Alphabet,Technology,555.468,3456000.0,1827.99
2013-12-24,GOOG,Alphabet,Technology,553.844,1473800.0,1833.32
2013-12-26,GOOG,Alphabet,Technology,556.644,2685500.0,1842.02
2013-12-27,GOOG,Alphabet,Technology,557.112,3151100.0,1841.4
2013-12-30,GOOG,Alphabet,Technology,552.659,2481300.0,1841.07
2013-12-31,GOOG,Alphabet,Technology,558.263,2725900.0,1848.36
2014-01-02,GOOG,Alphabet,Technology,554.482,3656400.0,1831.98
2014-01-03,GOOG,Alphabet,Technology,550.437,3345800.0,1831.37
2014-01-06,GOOG,Alphabet,Technology,556.574,3551800.0,1826.77
2014-01-07,GOOG,Alphabet,Technology,567.304,5124300.0,1837.88
2014-01-08,GOOG,Alphabet,Technology,568.484,4501700.0,1837.49
2014-01-09,GOOG,Alphabet,Technology,563.01,4184500.0,1838.13
2014-01-10,GOOG,Alphabet,Technology,562.98,4302900.0,1842.37
2014-01-13,GOOG,Alphabet,Technology,559.393,4855800.0,1819.2
2014-01-14,GOOG,Alphabet,Technology,572.554,4983700.0,1838.88
2014-01-15,GOOG,Alphabet,Technology,572.165,3915000.0,1848.38
2014-01-16,GOOG,Alphabet,Technology,575.951,3380300.0,1845.89
2014-01-17,GOOG,Alphabet,Technology,573.117,5422800.0,1838.7
2014-01-21,GOOG,Alphabet,Technology,579.677,3974500.0,1843.8
2014-01-22,GOOG,Alphabet,Technology,580.335,3154500.0,1844.86
2014-01-23,GOOG,Alphabet,Technology,577.884,3912700.0,1828.46
2014-01-24,GOOG,Alphabet,Technology,559.817,7814000.0,1790.29
2014-01-27,GOOG,Alphabet,Technology,548.559,8739800.0,1781.56
2014-01-28,GOOG,Alphabet,Technology,559.408,4436900.0,1792.5
2014-01-29,GOOG,Alphabet,Technology,551.393,4777500.0,1774.2
2014-01-30,GOOG,Alphabet,Technology,565.575,10220800.0,1794.19
2014-01-31,GOOG,Alphabet,Technology,588.28,11174200.0,1782.59
2014-02-03,GOOG,Alphabet,Technology,564.599,9172400.0,1741.89
2014-02-04,GOOG,Alphabet,Technology,566.955,5644800.0,1755.2
2014-02-05,GOOG,Alphabet,Technology,569.466,4806800.0,1751.64
2014-02-06,GOOG,Alphabet,Technology,577.814,3907600.0,1773.43
2014-02-07,GOOG,Alphabet,Technology,586.522,5292000.0,1797.02
2014-02-10,GOOG,Alphabet,Technology,584.275,3904800.0,1799.84
2014-02-11,GOOG,Alphabet,Technology,592.868,4116900.0,1819.75
2014-02-12,GOOG,Alphabet,Technology,591.129,3461800.0,1819.26
2014-02-13,GOOG,Alphabet,Technology,597.71,3686400.0,1829.83
2014-02-14,GOOG,Alphabet,Technology,599.154,4389700.0,1838.63
2014-02-18,GOOG,Alphabet,Technology,603.179,4233500.0,1840.76
2014-02-19,GOOG,Alphabet,Technology,598.925,4222900.0,1828.75
2014-02-20,GOOG,Alphabet,Technology,599.807,3414300.0,1839.78
2014-02-21,GOOG,Alphabet,Technology,599.647,3738500.0,1836.25
2014-02-24,GOOG,Alphabet,Technology,603.991,3361100.0,1847.61
2014-02-25,GOOG,Alphabet,Technology,607.722,2888100.0,1845.12
2014-02-26,GOOG,Alphabet,Technology,607.807,3979100.0,1845.16
